partida_id,clave_csi,capitulo,cap_nombre,partida_desc,partida_unidad,n_insumos_mo_eq,ficha,ficha_desc,ficha_unidad,ficha_pagina,score
6902e4e4-6c1f-4892-a2df-b2e6239b199c,02 21 13,02,Condiciones Existentes,Suministro e Instalación de Niveletas de Madera para Trazado,M2,2,F013001,TRAZADO CON TEODOLITO,M.L.,62,0.5
6902e4e4-6c1f-4892-a2df-b2e6239b199c,02 21 13,02,Condiciones Existentes,Suministro e Instalación de Niveletas de Madera para Trazado,M2,2,F013003,TRAZADO Y MARCADO,M.L.,64,0.5
60b42893-f95d-482b-aed0-13e420eb5c2d,02 21 13.1,02,Condiciones Existentes,Trazado y Marcado de Obra,M,4,F013003,TRAZADO Y MARCADO,M.L.,64,1.0
60b42893-f95d-482b-aed0-13e420eb5c2d,02 21 13.1,02,Condiciones Existentes,Trazado y Marcado de Obra,M,4,F013004,TRAZADO Y MARCADO CON NIVEL,M.L.,65,0.667
60b42893-f95d-482b-aed0-13e420eb5c2d,02 21 13.1,02,Condiciones Existentes,Trazado y Marcado de Obra,M,4,F013001,TRAZADO CON TEODOLITO,M.L.,62,0.5
a81c4d5b-09b2-48ea-868a-8b82222aba50,03 11 13,03,Concreto,Instalación de encofrado perimetral de madera para fundición de losa,M,2,F130006,ENCOFRADO DE LOSA SUPERIOR,M2,773,0.667
a81c4d5b-09b2-48ea-868a-8b82222aba50,03 11 13,03,Concreto,Instalación de encofrado perimetral de madera para fundición de losa,M,2,F130003,CURADO DE LOSA,M2,770,0.5
a81c4d5b-09b2-48ea-868a-8b82222aba50,03 11 13,03,Concreto,Instalación de encofrado perimetral de madera para fundición de losa,M,2,F130005,ENCOFRADO DE LOSA MONOLITICA PARA PUENTE,M2,772,0.5
65c61f24-91c7-4c53-a029-5dfce403adb5,03 15 13,03,Concreto,Instalación de Anclajes de Columna (J-Bolts) Pernos tipo J de acero ASTM F1554 (Grado 36 ) de 3/4 de diámetro. Incluye tuercas hexagonales pesadas y arandelas endurecidas.,PZA,4,F034052,"COLUMNA 36 X 36, 8Nº6, Nº3 @ 20, CONCRETO 1:2:2",M.L.,300,0.4
377c02ec-0675-44e9-8949-3a8b00e1e8bc,03 22 00,03,Concreto,"Armado de Losa de Cimentación con Electromalla 6"" x 6"" 4/4",M2,2,F130003,CURADO DE LOSA,M2,770,0.5
d4ea10fb-1705-427a-a45e-63330662882a,03 31 00.1,03,Concreto,"Armado, Encofrado y Fundido de Castillo R1 15x15cm, Ref 4#3 + N2@5cm F032002",ML,4,F032003,CASTILLO 15X15 SOLO FUNDIDO CONCRETO 1:2:2,M.L.,231,0.4
d4ea10fb-1705-427a-a45e-63330662882a,03 31 00.1,03,Concreto,"Armado, Encofrado y Fundido de Castillo R1 15x15cm, Ref 4#3 + N2@5cm F032002",ML,4,F032007,CASTILLO 15X30 SOLO FUNDIDO CONCRETO 1:2:2,M.L.,235,0.4
