ficha_codigo,descripcion,unidad_actividad,pagina_pdf,pagina_fin,seccion,tipo,recurso_codigo,recurso_desc,valor,desperdicio,unidad_recurso,fuente,url,fecha_consulta,sha256_pdf
F011001,"CHAPEO Y LIMPIEZA, PARA EDI (INC/ACA HASTA 20 MTS)",M2,2,2,Mano de Obra,MANO_OBRA,ON-F01003,PEON,0.017,,JDR,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011001,"CHAPEO Y LIMPIEZA, PARA EDI (INC/ACA HASTA 20 MTS)",M2,2,2,Herramienta y Equipo,EQUIPO,HM-F06002,HERRAMIENTA MENOR,10.0,,%,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011002,LIMPIEZA DE CUNETAS 0.4 DE PROFUND. Y 0.4 DE ANCH,M.L.,3,3,Mano de Obra,MANO_OBRA,ON-F01003,PEON,0.04,,JDR,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011002,LIMPIEZA DE CUNETAS 0.4 DE PROFUND. Y 0.4 DE ANCH,M.L.,3,3,Herramienta y Equipo,EQUIPO,HM-F06002,HERRAMIENTA MENOR,10.0,,%,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011003,LIMPIEZA DE CAUCE DE QUEBRADA,M2,4,4,Mano de Obra,MANO_OBRA,ON-F01003,PEON,0.03,,JDR,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011003,LIMPIEZA DE CAUCE DE QUEBRADA,M2,4,4,Herramienta y Equipo,EQUIPO,HM-F06002,HERRAMIENTA MENOR,10.0,,%,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011004,LIMPIEZA DE CALLES (INCLUYE ACARREO HASTA 20 MTS.),M2,5,5,Mano de Obra,MANO_OBRA,ON-F01003,PEON,0.01,,JDR,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011004,LIMPIEZA DE CALLES (INCLUYE ACARREO HASTA 20 MTS.),M2,5,5,Herramienta y Equipo,EQUIPO,HM-F06002,HERRAMIENTA MENOR,10.0,,%,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011005,LIMPIEZA DE PAREDES CON CEPILLO DE ALAMBRE,M2,6,6,Mano de Obra,MANO_OBRA,ON-F01003,PEON,0.04,,JDR,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
F011005,LIMPIEZA DE PAREDES CON CEPILLO DE ALAMBRE,M2,6,6,Herramienta y Equipo,EQUIPO,HM-F06002,HERRAMIENTA MENOR,10.0,,%,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),https://icunah.wordpress.com/wp-content/uploads/2008/10/fichas-de-costos-unitarios.pdf,2026-08-20,6876b795cc472baa01ebb34116b816128f42fd03810e963de804949c5cd1a6dd
