fhis_code,descripcion,unidad,capitulo,capitulo_nombre,subcapitulo,inhabilitada,fuente,anio
F011001,"CHAPEO Y LIMPIEZA, PARA EDI (INC/ACA HASTA 20 MTS)",M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011002,LIMPIEZA DE CUNETAS 0.4 DE PROFUND. Y 0.4 DE ANCH,M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011003,LIMPIEZA DE CAUCE DE QUEBRADA,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011004,LIMPIEZA DE CALLES (INCLUYE ACARREO HASTA 20 MTS.),M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011005,LIMPIEZA DE PAREDES CON CEPILLO DE ALAMBRE,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011006,LIMPIEZA DE POZO,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011007,LIMPIEZA DE TERRENO CON TRACTOR,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011009,"LIMPIEZA DE TUBERIA DE 24""",M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011010,"LIMPIEZA DE TUBERIA DE 8""",M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011011,LIMPIEZA FINAL DE AREAS EXTERIORES,DIA,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011012,LIMPIEZA FINAL DE AREAS INTERIORES,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011013,LIMPIEZA FINAL DEL AREA EN PUENTES,DIA,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011014,LIMPIEZA GENERAL DEL TERRENO,DIA,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011015,REMOCION DE PINTURA EN PAREDES,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011016,"REMOCION DE TUBERIA PVC 1/2"" a 4""",M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011017,REMOCION DE CAPA VEGETAL,M3,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F011018,LIMPIEZA DE DERECHO DE VIA CON MANO DE OBRA,KM,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F011,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012001,DEMOLICION DE PAVIMENTO HIDRAULICO (NO INCL. BASE,M3,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012002,DEMOLICION DE CERCO DE MALLA SOBRECIMIENTO 40 CMS,M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012003,DEMOLICION CIELO FALSO(INCL. ACARREO)(INHABILITADA,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,1,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012004,DEMOLICION DE ELEM.CONCRETO 0.10-0.25 M ANCHO / ML,M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012005,DEMOLICION DE ELEMENTOS DE CONCRETO/ MAMPOSTERIA,M3,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012006,DEMOLICION DE PARED MADERA / PANELIT,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012007,DEMOLICION DE PARED (BLOQUE/LADRILLO/ADOBE),M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012008,DEMOLICION DE PAVIMENTO ASFALTICO (NO INCLUYE BASE,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012009,DEMOLICION DE PISO DE CONCRETO (8 – 10 CM.),M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012010,DEMOLICION DE PISO MOSAICO,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012011,DEMOLICION DE PIZARRON,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012012,DEMOLICION DE REPELLO Y PULIDO,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012013,DEMOLICION DE REVOCOS (SIN ACARREO),M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012014,DEMOLICION DE REVOCOS Y ENFOSCADOS E=0.10 MTS.,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012015,DEMOLICION TECHO MADERA/INCL CIELO FAL.(INHABILIT),M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012016,DEMOLICION GENERAL,DIA,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012017,DESMONTAJE DE MALLA CICLON,ML,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012018,DESMONTAJE DE ADOQUINADO,M2.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012019,DESMONTAJE DE BALCON,UND,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012020,"DESMONTAJE DE CANAL A. LL. PVC (INCL. BAJANTE 3"")",M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012021,DESMONTAJE DE CANALETA,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012022,DESMONTAJE DE CAPOTE (INHABILITADA),M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,1,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012023,DESMONTAJE DE CERCHAS (VIGAS DE TECHO),UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012024,DESMONTAJE DE CERCO DE ALAMBRE DE PUAS,ML,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012025,DESMONTAJE DE CONTRAMARCOS,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012026,DESMONTAJE DE INODOROS/LAVAMANOS/URINARIO,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012027,DESMONTAJE DE LAM. TECHO(ESTR. EXIS)(INHABILITADA),M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,1,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012028,DESMONTAJE DE MALLA EN VENTANA,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012029,DESMONTAJE DE PARED DE PANELIT / TABLA YESO,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012030,DESMONTAJE DE PAREDES MOVIBLES,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012031,DESMONTAJE DE PERLINES,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012033,DESMONTAJE DE PORTON DE lAMINA/TUBO INDUSTRIAL,M2,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012034,DESMONTAJE DE PUERTAS INCLUYE CONTRAMARCO,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012035,DESMONTAJE DE REGADERAS/LLAVES DE AGUA POTABLE,UNID,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012036,DESMONTAJE DE SERPENTINA,M.L.,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
F012037,DESMONTAJE DE TIJERA,UNIDA,F01,"Limpieza, demolicion, trazado y movimiento de tierra menor",F012,0,FHIS Manual de Rendimientos 2003-11 (Cred. BM 3443-HO),2003
